Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_clone_repo_via_http,11,8405,7792,8508,12558,15799,5326,16609,0.0,False
jmeter_create_repo_shallow_copy,20,34,33,38,40,41,29,41,0.0,False
jmeter_git_add,14952,4,3,4,6,20,2,65,0.0,False
jmeter_git_commit,14952,6,5,8,10,20,4,47,0.0,False
jmeter_git_push_via_http,8246,389,347,544,701,937,250,1244,0.0,False
jmeter_git_fetch_via_http,8246,196,169,263,356,645,124,2581,0.0,False
jmeter_clone_repo_via_ssh,9,8011,8325,9305,9506,9667,5731,9707,0.0,False
jmeter_git_push_via_ssh,6706,425,349,715,781,893,219,1680,0.0,False
jmeter_git_fetch_via_ssh,6706,305,205,662,957,1376,99,2692,0.0,False
selenium_login:open_login_page,155,107,102,115,122,164,94,412,0.0,False
selenium_login:login_get_started,155,292,287,328,341,413,230,525,0.0,False
selenium_login,155,484,478,529,545,618,411,1023,0.0,False
selenium_view_dashboard,155,864,724,1695,1924,2181,240,2462,0.0,False
selenium_create_pull_request:create_pull_request,155,7404,7483,8097,8299,8753,5561,9061,0.0,False
selenium_create_pull_request:merge_pull_request,155,328,300,342,499,782,270,804,0.0,False
selenium_create_pull_request,155,8740,8791,9516,9677,10104,6570,10336,0.0,False
selenium_view_projects,155,409,405,459,484,570,298,653,0.0,False
selenium_view_project_repositories,155,226,221,248,260,316,196,330,0.0,False
selenium_view_repository,155,373,343,474,671,766,269,783,0.0,False
selenium_view_list_pull_requests,155,325,320,370,396,433,264,468,0.0,False
selenium_view_pull_request_overview,155,603,519,891,945,1025,371,1389,0.0,False
selenium_view_pull_request_diff,155,772,711,919,1627,1843,382,1981,0.0,False
selenium_view_pull_request_commits,155,703,800,998,1061,1302,340,1455,0.0,False
selenium_comment_pull_request_file,155,2305,2225,2778,3012,3205,1873,3421,0.0,False
selenium_comment_pull_request_overview,155,919,909,996,1035,1136,549,1159,0.0,False
selenium_view_branches,155,840,834,899,928,1167,356,1382,0.0,False
selenium_view_commits,155,642,641,731,775,836,497,874,0.0,False
selenium_log_out,155,100,98,109,113,138,89,169,0.0,False
