Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1112,968,1398,1435,3980,660,11945,0.0,False
jmeter_view_page:open_page,8599,311,276,499,591,757,150,2772,0.0,False
jmeter_view_page:view_page_tree,8599,60,43,127,141,186,10,1118,0.0,False
jmeter_view_blog,1274,454,382,790,1086,1498,201,3473,0.0,False
jmeter_search_cql:recently_viewed,1115,11,10,18,20,29,3,164,0.0,False
jmeter_search_cql:search_results,1115,435,396,639,655,704,219,1622,0.0,False
jmeter_comment_page,796,62,59,92,106,126,25,511,0.0,False
jmeter_upload_attachment,790,403,276,883,1052,1243,138,4364,0.0,False
jmeter_view_dashboard,955,831,683,1199,1222,1269,552,1850,0.0,False
jmeter_create_and_edit_page:create_page_editor,955,140,127,178,186,209,95,860,0.0,False
jmeter_create_and_edit_page:create_page,955,275,249,351,366,413,191,1133,0.0,False
jmeter_create_and_edit_page:open_editor,955,103,100,120,126,165,69,330,0.0,False
jmeter_create_and_edit_page:edit_page,955,273,245,352,370,451,186,1257,0.0,False
jmeter_create_blog:blog_editor,478,183,172,229,248,291,126,557,0.0,False
jmeter_create_blog:feel_and_publish,478,306,284,392,418,480,218,847,0.0,False
jmeter_view_attachment,478,71,66,95,106,152,41,169,0.0,False
jmeter_like_page,478,24,22,40,44,60,9,97,0.0,False
selenium_login:open_login_page,352,109,106,111,113,119,98,1126,0.0,False
selenium_login:login_and_view_dashboard,352,320,320,337,344,361,264,833,0.0,False
selenium_login,352,514,510,531,538,556,452,2041,0.0,False
selenium_view_page,352,533,528,706,750,848,340,1892,0.0,False
selenium_create_page:open_create_page_editor,352,824,816,879,897,947,696,2315,0.0,False
selenium_create_page:save_created_page,352,615,608,637,658,678,572,785,0.0,False
selenium_create_page,352,1575,1563,1640,1666,1732,1425,3215,0.0,False
selenium_edit_page:open_create_page_editor,352,1706,1716,2482,2665,2774,981,3680,0.0,False
selenium_edit_page:save_edited_page,352,792,778,909,968,1048,628,1228,0.0,False
selenium_edit_page,352,2522,2574,3308,3502,3655,1686,4462,0.0,False
selenium_create_comment:write_comment,352,596,680,815,822,849,281,887,0.0,False
selenium_create_comment:save_comment,352,357,166,668,672,682,139,694,0.0,False
selenium_create_comment,352,1388,1335,1821,1884,2147,820,2195,0.0,False
selenium_view_blog,352,665,602,1104,1190,1508,410,2002,0.0,False
selenium_view_dashboard,352,285,282,330,342,373,181,387,0.0,False
selenium_log_out,352,120,119,127,129,149,108,207,0.0,False
