Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,461,390,502,642,2751,292,4100,0.0,False
jmeter_view_dashboard,5077,262,263,318,340,391,177,1742,0.0,False
jmeter_view_issue,18198,189,183,240,277,374,110,1518,0.0,False
jmeter_search_jql,5501,466,454,530,559,642,364,4325,0.0,False
jmeter_view_backlog,2539,268,258,325,347,389,196,2694,0.0,False
jmeter_create_issue:open_quick_create,1693,75,73,90,99,124,56,627,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1693,205,172,289,308,339,131,968,0.0,False
jmeter_view_project_summary,1692,197,178,249,261,315,133,1501,0.0,False
jmeter_edit_issue:open_editor,1692,85,75,108,114,147,61,946,0.0,False
jmeter_edit_issue:save_edit,1692,307,278,401,440,585,201,1295,0.0,False
jmeter_browse_projects,1692,51,47,62,64,87,37,175,0.0,False
jmeter_view_kanban_board,1270,219,210,268,287,335,157,2005,0.0,False
jmeter_view_scrum_board,1270,128,124,177,190,242,80,1332,0.0,False
jmeter_add_comment:open_comment,847,71,70,88,96,142,45,225,0.0,False
jmeter_add_comment:save_comment,847,181,182,240,254,298,104,675,0.0,False
jmeter_browse_boards,846,74,72,87,90,127,53,690,0.0,False
selenium_login:open_login_page,199,126,117,132,143,196,107,1139,0.0,False
selenium_login:login_and_view_dashboard,199,682,617,702,1332,1476,543,4893,0.0,False
selenium_login,199,809,739,829,1456,1594,657,6032,0.0,False
selenium_browse_projects_list,199,307,304,333,349,370,259,390,0.0,False
selenium_browse_boards_list,199,339,308,331,350,801,286,3566,0.0,False
selenium_create_issue:open_quick_create,199,864,880,924,933,999,666,1328,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,199,636,628,651,660,677,613,1653,0.0,False
selenium_create_issue:fill_and_submit_issue_form,199,1293,1286,1367,1409,1470,1123,2131,0.0,False
selenium_create_issue,199,2158,2171,2260,2297,2351,1818,3460,0.0,False
selenium_edit_issue:open_edit_issue_form,199,627,585,777,808,1151,507,1509,0.0,False
selenium_edit_issue:save_edit_issue_form,199,644,638,694,714,749,574,860,0.0,False
selenium_edit_issue,199,1790,1773,1865,1889,2336,1659,2598,0.0,False
selenium_save_comment:open_comment_form,199,390,389,453,499,557,279,582,0.0,False
selenium_save_comment:submit_form,199,936,927,1007,1040,1148,775,1873,0.0,False
selenium_save_comment,199,1561,1545,1641,1755,2070,1368,2437,0.0,False
selenium_search_jql,199,1278,1262,1327,1341,1391,1211,2949,0.0,False
selenium_view_scrum_board_backlog,199,1240,1190,1591,1611,1642,813,3514,0.0,False
selenium_view_scrum_board,199,846,830,851,867,973,806,3164,0.0,False
selenium_view_kanban_board,199,954,927,1293,1325,1682,418,1934,0.0,False
selenium_view_dashboard,199,451,444,659,703,918,245,1075,0.0,False
selenium_view_issue,199,784,783,863,908,938,615,1565,0.0,False
selenium_project_summary,199,553,541,627,658,720,359,2057,0.0,False
selenium_log_out,199,434,437,486,514,543,325,684,0.0,False
